ligand_id,docked_conformation_count,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_median_score_kcal_mol,ensemble_score_std_kcal_mol,enopt_style_weighted_score_kcal_mol,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL3309389,5,-13.24,-12.117,-12.87,1.3669290398553977,-12.137557813249636,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)c3ccc(-c4ccccc4)cc3)c2)n1,ChEMBL37_chemreps,504.594,38,4.965,3,7,104.96
CHEMBL1222706,5,-12.76,-12.114,-12.4,1.00023997120691,-12.12767034436666,O=C(NCc1ccccn1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1,ChEMBL37_chemreps,503.393,35,5.64,2,6,84.21
CHEMBL18750,5,-12.45,-12.094,-12.4,0.5808872523992931,-12.10064917506466,O=C(O)c1cccc(Cn2nnc(-c3cccc(CSc4ccc5ccccc5n4)c3)n2)c1,ChEMBL37_chemreps,453.527,33,4.927,1,7,93.79
CHEMBL33329,5,-12.64,-12.088000000000001,-12.49,0.8510992891549143,-12.09985700470465,O=C(O)c1ccc2oc(-c3cccc(/C=C/c4ccc5ccccc5n4)c3)cc(=O)c2c1,ChEMBL37_chemreps,419.436,32,5.877,1,4,80.4
CHEMBL39830,5,-13.16,-12.071,-12.85,1.8924005918409557,-12.09535528169991,Nc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4CC(c5ccccc5)NC4=O)ccc32)cc1,ChEMBL37_chemreps,462.531,33,2.927,2,5,112.81
CHEMBL38628,5,-12.92,-12.076,-12.35,1.0730470632735543,-12.088231678871619,Cc1ccc(-c2nc(Cc3cc4cc(CC5OC(=O)NC5=O)ccc4o3)c(C)o2)cc1,ChEMBL37_chemreps,416.433,31,4.473,1,6,94.57
CHEMBL20629,5,-12.85,-12.072000000000001,-12.7,1.0344902126168227,-12.087385663587177,Cc1cc(C(=O)Nc2ccc(C(=O)N3CCCCC3)cc2)n(-c2ccc3cc(Cl)ccc3c2)n1,ChEMBL37_chemreps,472.976,34,5.866,1,4,67.23
CHEMBL4434850,5,-13.94,-12.053199999999999,-11.94,1.8654144847727545,-12.079542336575717,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCO5)c2)cc1,ChEMBL37_chemreps,541.526,39,5.776,1,8,83.96
CHEMBL11745,5,-12.84,-12.063999999999998,-12.32,0.9731803532747666,-12.075199587207,O=C(O)c1cc(F)cc(C(=O)/C=C/c2cccc(/C=C/c3ccc4ccccc4n3)c2)c1O,ChEMBL37_chemreps,439.442,33,5.844,2,4,87.49
CHEMBL22003,5,-13.7,-12.0474,-11.69,1.6291159565850426,-12.062322578010756,CN1C(=O)[C@H](NC(=O)Nc2cccc(N(C)c3nn[nH]n3)c2)N=C(c2ccccc2)c2ccccc21,ChEMBL37_chemreps,481.52,36,2.929,3,7,131.5
CHEMBL4543357,5,-13.15,-12.033999999999999,-11.9,1.1187180163025896,-12.047839894724861,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1,ChEMBL37_chemreps,483.524,36,3.022,0,6,79.39
CHEMBL3309962,5,-12.83,-12.024000000000001,-12.24,0.8585627525114281,-12.035069587293727,O=C(NCc1ccc(F)cc1)c1ccc(=O)n(-c2ccc(Oc3ccnc4ccsc34)c(F)c2)c1,ChEMBL37_chemreps,489.503,35,5.448,1,6,73.22
