ligand_id,smiles,source,mol_weight,heavy_atoms,logp,hbd,hba,tpsa
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,ChEMBL37_chemreps,308.378,22,0.533,4,4,112.65
CHEMBL29293,Cc1ccccc1CO[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,ChEMBL37_chemreps,397.562,30,5.807,0,2,12.47
CHEMBL29209,CCCn1c(=O)n(C)c(=O)c2c1ncn2CC(=O)O,ChEMBL37_chemreps,266.257,19,-0.609,1,7,99.12
CHEMBL29211,COc1cccc(COc2ccc(S(=O)(=O)N3CC[C@H](O)C[C@@H]3C(=O)NO)cc2)c1,ChEMBL37_chemreps,436.486,30,1.294,3,7,125.4
CHEMBL29212,Clc1cc(Cl)cc(Nc2nc(NCCCN3CCCC3)nc3ccccc23)c1,ChEMBL37_chemreps,416.356,28,5.578,2,5,53.08
CHEMBL29213,O=C(C(=O)N1CCc2ccccc2C1)c1c[nH]c2ccccc12,ChEMBL37_chemreps,304.349,23,2.936,1,2,53.17
CHEMBL29126,CN(C)CCNc1ccc(NCCCN)c2c1C(=O)c1ccccc1C2=O,ChEMBL37_chemreps,366.465,27,2.196,3,6,87.46
CHEMBL29129,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3(F)C(=O)c4c(O)cccc4CC3CC12,ChEMBL37_chemreps,432.404,31,-0.414,4,8,158.23
CHEMBL29214,O=C1C2C3C=CC(C4C=CC43)C2C(=O)N1CCCCN1CCN(c2ccc(C(F)(F)F)cn2)CC1,ChEMBL37_chemreps,486.538,35,3.222,0,5,56.75
CHEMBL29131,Clc1ccc(CC2COC(Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)cc1,ChEMBL37_chemreps,423.727,27,5.354,0,4,36.28
CHEMBL29132,Cc1c(-c2ccc(O)cc2)n(CCc2ccccc2)c2ccc(O)cc12,ChEMBL37_chemreps,343.426,26,5.271,2,3,45.39
CHEMBL29133,Cc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(Cl)cc1,ChEMBL37_chemreps,415.824,27,4.167,1,4,77.98
CHEMBL29134,Cc1cccc(C)c1NC(=O)Nc1ccncc1,ChEMBL37_chemreps,241.294,18,3.342,2,2,54.02
CHEMBL29219,CN(CC(=O)NC(CC(=O)O)c1cc(Cl)cc(Cl)c1)C(=O)c1ccc(NC(=O)NCc2ccccc2)o1,ChEMBL37_chemreps,547.395,37,4.312,4,5,140.98
CHEMBL29039,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3cccc([N+](=O)[O-])c3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,ChEMBL37_chemreps,520.494,38,4.134,2,10,138.62
CHEMBL29040,O[C@@H]1c2ccccc2CC[C@H]1CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,ChEMBL37_chemreps,492.61,36,4.984,1,4,35.94
CHEMBL29135,CC(Cn1cc[n+](C)c1/C=N/O)NS(=O)(=O)C(F)(F)F,ChEMBL37_chemreps,315.297,20,-0.052,2,5,87.57
CHEMBL29136,N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,ChEMBL37_chemreps,342.355,24,2.197,1,5,101.77
CHEMBL28961,O=C1N(CCCCCO)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CC1,ChEMBL37_chemreps,466.622,34,3.241,3,4,84.24
CHEMBL29042,O=C1/C(=C/c2cccc([N+](=O)[O-])c2)Cc2ccccc21,ChEMBL37_chemreps,265.268,20,3.417,0,3,60.21
CHEMBL29044,COOC1(OOCCCCCC(=O)O)CCCCCCCCCCC1,ChEMBL37_chemreps,360.491,25,5.159,1,5,74.22
CHEMBL29046,NS(=O)(=O)c1cc[n+]([O-])cc1,ChEMBL37_chemreps,174.181,11,-1.033,1,3,87.1
CHEMBL29052,CCCn1c(=O)n(C)c(=O)c2c1ncn2CCC(=O)O,ChEMBL37_chemreps,280.284,20,-0.219,1,7,99.12
CHEMBL29054,Cc1ccc(CCCNc2ccc(C(=O)O)cc2)cc1,ChEMBL37_chemreps,269.344,20,3.738,2,2,49.33
CHEMBL29151,OC1CCCCC1CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,ChEMBL37_chemreps,444.566,32,4.24,1,4,35.94
